CI_Name,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,Category,No_of_Related_Incidents
SBA000698,application,Server Based Application,IM0002978,4,4,4.0,incident,
WBA000060,application,Web Based Application,IM0002979,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0002980,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0002981,4,4,4.0,incident,
STA000013,application,Standard Application,IM0002982,3,3,3.0,incident,
WBA000094,application,Web Based Application,IM0002983,4,4,4.0,incident,
DTA000011,application,Desktop Application,IM0002984,4,4,4.0,incident,
LAP000466,computer,Laptop,IM0002985,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0002986,5,5,5.0,request for information,
SAP000004,application,SAP,IM0002987,5,5,5.0,request for information,
SBA000458,application,Server Based Application,IM0002988,5,5,5.0,incident,
SBA000263,application,Server Based Application,IM0002989,5,5,5.0,request for information,
SBA000462,application,Server Based Application,IM0002990,4,4,4.0,incident,
LAP001487,computer,Laptop,IM0002991,5,5,5.0,incident,
SBA000263,application,Server Based Application,IM0002992,5,5,5.0,request for information,
SUB000521,subapplication,Web Based Application,IM0002993,4,4,4.0,incident,
WBA000011,application,Web Based Application,IM0002994,5,5,5.0,incident,
SUB000456,subapplication,Web Based Application,IM0002995,4,4,4.0,incident,
SBA000017,application,Server Based Application,IM0002996,4,4,4.0,incident,
SAP000004,application,SAP,IM0002997,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0002998,5,5,5.0,request for information,
DTA000616,application,Desktop Application,IM0002999,4,4,4.0,incident,
SAP000004,application,SAP,IM0003000,5,5,5.0,request for information,
SBA000261,application,Server Based Application,IM0003001,5,5,5.0,request for information,
WBA000060,application,Web Based Application,IM0003003,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003004,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003005,5,5,5.0,request for information,
APP000005,application,Citrix,IM0003006,4,4,4.0,incident,
SAP000004,application,SAP,IM0003007,5,5,5.0,request for information,
WBA000060,application,Web Based Application,IM0003008,4,4,4.0,incident,
SAP000004,application,SAP,IM0003009,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003010,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003011,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003012,5,5,5.0,request for information,
APP000005,application,Citrix,IM0003013,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003014,5,5,5.0,request for information,
WBA000058,application,Web Based Application,IM0003015,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003016,5,5,5.0,request for information,
WBA000126,application,Web Based Application,IM0003017,5,4,4.0,request for information,
SBA000029,application,Server Based Application,IM0003018,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003019,5,5,5.0,request for information,
WBA000058,application,Web Based Application,IM0003020,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003021,5,5,5.0,request for information,
DTA000616,application,Desktop Application,IM0003022,4,4,4.0,incident,
SAP000005,application,SAP,IM0003023,5,5,5.0,request for information,
DTA000616,application,Desktop Application,IM0003024,4,4,4.0,incident,
SAP000004,application,SAP,IM0003025,5,5,5.0,request for information,
SBA000464,application,Server Based Application,IM0003026,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003027,4,4,4.0,incident,
DTA000018,application,Desktop Application,IM0003028,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0003029,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003030,5,5,5.0,request for information,
SBA000045,application,Server Based Application,IM0003031,5,5,5.0,incident,
APP000005,application,Citrix,IM0003032,4,4,4.0,incident,
DTA000027,application,Desktop Application,IM0003033,3,4,3.0,incident,
WBA000133,application,Web Based Application,IM0003034,4,4,4.0,incident,
SBA000313,application,Server Based Application,IM0003035,4,4,4.0,incident,
APP000005,application,Citrix,IM0003036,3,3,3.0,incident,
WBA000148,application,Web Based Application,IM0003037,5,5,5.0,incident,
WBA000058,application,Web Based Application,IM0003038,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003039,4,4,4.0,incident,
SBA000017,application,Server Based Application,IM0003040,NS,3,,incident,
CBA000018,application,Client Based Application,IM0003041,4,4,4.0,incident,
SBA000154,application,Server Based Application,IM0003042,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003043,4,4,4.0,incident,
SBA000659,application,Server Based Application,IM0003044,4,4,4.0,incident,
CBD000860,computer,Banking Device,IM0003045,2,2,2.0,incident,
DTA000616,application,Desktop Application,IM0003046,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003047,NS,3,,incident,
SBA000172,application,Server Based Application,IM0003048,3,3,3.0,incident,
DTA000016,application,Desktop Application,IM0003049,4,4,4.0,incident,
MON00027,displaydevice,Monitor,IM0003050,4,4,4.0,incident,
SBA000311,application,Server Based Application,IM0003051,4,4,4.0,incident,
WBA000018,application,Web Based Application,IM0003052,4,4,4.0,incident,
WBA000018,application,Web Based Application,IM0003053,4,4,4.0,incident,
WBA000018,application,Web Based Application,IM0003054,4,4,4.0,incident,
WBA000094,application,Web Based Application,IM0003055,4,4,4.0,incident,
STA000013,application,Standard Application,IM0003056,3,3,3.0,incident,
SUB000456,subapplication,Web Based Application,IM0003057,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003058,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003059,3,3,3.0,incident,
SUB000521,subapplication,Web Based Application,IM0003060,4,4,4.0,incident,
WBA000144,application,Web Based Application,IM0003061,5,5,5.0,incident,
CNT000012,storage,Controller,IM0003062,3,3,3.0,incident,
SBA000462,application,Server Based Application,IM0003063,5,5,5.0,request for information,
SUB000456,subapplication,Web Based Application,IM0003064,4,4,4.0,incident,
SBA000427,application,Server Based Application,IM0003065,3,3,3.0,incident,
CBD000597,computer,Banking Device,IM0003066,3,3,3.0,incident,
SUB000113,subapplication,Server Based Application,IM0003067,5,5,5.0,request for information,
SBA000698,application,Server Based Application,IM0003068,NS,3,,incident,
SBA000311,application,Server Based Application,IM0003069,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0003070,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003071,4,4,4.0,incident,
MON00011,displaydevice,Monitor,IM0003072,4,4,4.0,incident,
SBA000458,application,Server Based Application,IM0003073,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0003074,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003075,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003076,4,4,4.0,incident,
KYB000001,hardware,Keyboard,IM0003077,5,5,5.0,incident,
SBA000017,application,Server Based Application,IM0003078,3,3,3.0,incident,
SBA000698,application,Server Based Application,IM0003079,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003080,4,4,4.0,incident,
SBA000659,application,Server Based Application,IM0003081,4,4,4.0,incident,
SBA000317,application,Server Based Application,IM0003082,NS,3,,incident,
CBD000397,computer,Banking Device,IM0003083,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003084,3,3,3.0,incident,
DTA000056,application,Desktop Application,IM0003085,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003086,4,4,4.0,incident,
DCE000077,hardware,DataCenterEquipment,IM0003087,3,3,3.0,incident,
SBA000172,application,Server Based Application,IM0003088,NS,3,,incident,
SUB000456,subapplication,Web Based Application,IM0003089,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003090,4,4,4.0,incident,
SBA000101,application,Server Based Application,IM0003091,5,5,5.0,request for information,
SBA000295,application,Server Based Application,IM0003092,3,3,3.0,incident,
LAP000433,computer,Laptop,IM0003093,5,5,5.0,incident,
SBA000805,application,Server Based Application,IM0003094,3,3,3.0,incident,
SBA000189,application,Server Based Application,IM0003095,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0003096,5,5,5.0,request for information,
SBA000464,application,Server Based Application,IM0003097,4,4,4.0,incident,
SBA000189,application,Server Based Application,IM0003098,5,5,5.0,incident,
DTA000017,application,Desktop Application,IM0003099,3,3,3.0,incident,
APP000005,application,Citrix,IM0003100,3,4,3.0,incident,
SBA000326,application,Server Based Application,IM0003101,3,3,3.0,incident,
WBA000094,application,Web Based Application,IM0003102,4,4,4.0,incident,
WBA000011,application,Web Based Application,IM0003103,5,5,5.0,incident,
SBA000263,application,Server Based Application,IM0003104,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003105,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003106,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003107,5,5,5.0,request for information,
SBA000607,application,Server Based Application,IM0003108,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003109,5,5,5.0,request for information,
APP000005,application,Citrix,IM0003110,4,4,4.0,incident,
SAP000005,application,SAP,IM0003111,5,5,5.0,request for information,
LAP000019,computer,Laptop,IM0003112,4,4,4.0,incident,
SBA000423,application,Server Based Application,IM0003113,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003114,5,5,5.0,request for information,
SAP000005,application,SAP,IM0003115,5,5,5.0,request for information,
ADB000010,database,Database,IM0003116,NS,4,,incident,
SAP000005,application,SAP,IM0003117,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003118,5,5,5.0,request for information,
DTA000189,application,Desktop Application,IM0003119,4,4,4.0,incident,
SAP000005,application,SAP,IM0003120,5,5,5.0,request for information,
SBA000462,application,Server Based Application,IM0003121,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003122,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003123,5,5,5.0,request for information,
DTA000057,application,Desktop Application,IM0003124,5,5,5.0,incident,
SAP000005,application,SAP,IM0003125,5,5,5.0,request for information,
SUB000113,subapplication,Server Based Application,IM0003126,5,5,5.0,request for information,
SAP000005,application,SAP,IM0003127,5,5,5.0,request for information,
SBA000462,application,Server Based Application,IM0003128,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0003129,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003130,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003131,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003132,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003133,5,5,5.0,request for information,
SUB000534,subapplication,Web Based Application,IM0003134,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003135,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003136,4,5,4.0,incident,
SUB000521,subapplication,Web Based Application,IM0003137,4,4,4.0,incident,
WBA000058,application,Web Based Application,IM0003138,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0003139,4,4,4.0,incident,
DTA000057,application,Desktop Application,IM0003140,5,5,5.0,incident,
SBA000010,application,Server Based Application,IM0003141,4,4,4.0,incident,
LAP001411,computer,Laptop,IM0003142,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003143,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003144,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003145,5,5,5.0,request for information,
DTA000017,application,Desktop Application,IM0003146,4,4,4.0,incident,
SAN000178,storage,SAN,IM0003147,4,4,4.0,incident,
SUB000521,subapplication,Web Based Application,IM0003148,4,4,4.0,incident,
SBA000163,application,Server Based Application,IM0003149,5,5,5.0,incident,
SUB000465,subapplication,Web Based Application,IM0003150,4,4,4.0,incident,
SBA000698,application,Server Based Application,IM0003151,4,4,4.0,incident,
SBA000033,application,Server Based Application,IM0003152,4,5,4.0,request for information,
SBA000427,application,Server Based Application,IM0003153,3,3,3.0,incident,
SBA000659,application,Server Based Application,IM0003154,4,4,4.0,incident,
SBA000659,application,Server Based Application,IM0003155,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003156,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0003157,4,4,4.0,incident,
SBA000805,application,Server Based Application,IM0003158,NS,3,,incident,
SBA000659,application,Server Based Application,IM0003159,4,4,4.0,incident,
DTA000614,application,Desktop Application,IM0003160,4,4,4.0,incident,
SBA000079,application,Server Based Application,IM0003161,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003162,5,5,5.0,request for information,
SBA000172,application,Server Based Application,IM0003163,3,3,3.0,incident,
SUB000456,subapplication,Web Based Application,IM0003164,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003165,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003166,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003167,4,4,4.0,incident,
WBA000060,application,Web Based Application,IM0003168,4,4,4.0,incident,
SBA000659,application,Server Based Application,IM0003169,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003170,4,4,4.0,incident,
WSR001114,computer,Windows Server,IM0003171,NS,3,,incident,
PRN000140,officeelectronics,Printer,IM0003172,4,4,4.0,incident,
WBA000094,application,Web Based Application,IM0003173,4,4,4.0,incident,
SBA000458,application,Server Based Application,IM0003174,5,5,5.0,incident,
SBA000172,application,Server Based Application,IM0003175,3,3,3.0,incident,
WBA000077,application,Web Based Application,IM0003176,4,4,4.0,incident,
CBD000511,computer,Banking Device,IM0003177,2,2,2.0,incident,
SBA000017,application,Server Based Application,IM0003178,4,4,4.0,incident,
SBA000689,application,Server Based Application,IM0003179,5,5,5.0,request for information,
APP000005,application,Citrix,IM0003180,4,4,4.0,incident,
LAP001559,computer,Laptop,IM0003181,5,5,5.0,incident,
WBA000148,application,Web Based Application,IM0003182,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003183,4,4,4.0,incident,
LAP001152,computer,Laptop,IM0003184,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003185,4,4,4.0,incident,
DSK000484,computer,Desktop,IM0003186,5,5,5.0,incident,
SUB000456,subapplication,Web Based Application,IM0003187,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003188,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003189,4,4,4.0,incident,
COM000003,computer,Omgeving,IM0003190,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0003191,5,5,5.0,request for information,2.0
SBA000317,application,Server Based Application,IM0003192,5,5,5.0,incident,
WBA000058,application,Web Based Application,IM0003193,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0003194,5,5,5.0,incident,
SUB000523,subapplication,Web Based Application,IM0003195,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003196,5,5,5.0,request for information,
SBA000464,application,Server Based Application,IM0003197,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003198,5,5,5.0,request for information,
SBA000189,application,Server Based Application,IM0003199,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003200,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003201,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0003202,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003203,4,4,4.0,incident,
SBA000427,application,Server Based Application,IM0003204,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0003205,4,4,4.0,incident,
SAP000005,application,SAP,IM0003206,5,5,5.0,request for information,
SUB000545,subapplication,Web Based Application,IM0003207,5,5,5.0,incident,
SBA000263,application,Server Based Application,IM0003208,5,5,5.0,request for information,
SUB000456,subapplication,Web Based Application,IM0003209,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003210,5,5,5.0,request for information,
MON00011,displaydevice,Monitor,IM0003211,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0003212,5,5,5.0,request for information,
SBA000079,application,Server Based Application,IM0003214,4,4,4.0,incident,
SBA000659,application,Server Based Application,IM0003215,4,4,4.0,incident,
SBA000787,application,Server Based Application,IM0003216,5,5,5.0,request for information,
SBA000630,application,Server Based Application,IM0003217,5,5,5.0,request for information,
DTA000025,application,Desktop Application,IM0003218,4,4,4.0,incident,
CBA000014,application,Client Based Application,IM0003219,3,3,3.0,request for information,
SBA000782,application,Server Based Application,IM0003220,3,3,3.0,incident,
SBA000805,application,Server Based Application,IM0003221,3,3,3.0,incident,
DTA000189,application,Desktop Application,IM0003222,3,3,3.0,incident,
SBA000782,application,Server Based Application,IM0003223,NS,3,,incident,
WBA000011,application,Web Based Application,IM0003224,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0003225,5,5,5.0,request for information,
SBA000189,application,Server Based Application,IM0003226,5,5,5.0,incident,
DTA000025,application,Desktop Application,IM0003227,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003228,2,2,2.0,incident,
SAP000003,application,SAP,IM0003229,NS,3,,incident,
PRN000140,officeelectronics,Printer,IM0003230,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003231,4,4,4.0,incident,
APP000005,application,Citrix,IM0003232,5,5,5.0,incident,
SBA000782,application,Server Based Application,IM0003233,3,3,3.0,incident,
WBA000049,application,Web Based Application,IM0003234,3,3,3.0,incident,
APP000005,application,Citrix,IM0003235,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003236,5,5,5.0,request for information,
EXC000004,application,Exchange,IM0003237,5,5,5.0,request for information,
CBA000014,application,Client Based Application,IM0003238,4,4,4.0,incident,
STA000013,application,Standard Application,IM0003239,3,3,3.0,incident,
SBA000131,application,Server Based Application,IM0003240,NS,3,,incident,
DTA000018,application,Desktop Application,IM0003241,5,5,5.0,incident,
MON00011,displaydevice,Monitor,IM0003242,4,4,4.0,incident,
MON00025,displaydevice,Monitor,IM0003243,4,4,4.0,incident,
WBA000144,application,Web Based Application,IM0003244,5,5,5.0,incident,
APP000005,application,Citrix,IM0003245,4,4,4.0,incident,
WBA000058,application,Web Based Application,IM0003246,4,4,4.0,incident,
SBA000698,application,Server Based Application,IM0003247,4,4,4.0,incident,
SBA000054,application,Server Based Application,IM0003248,3,3,3.0,incident,
WBA000060,application,Web Based Application,IM0003249,4,4,4.0,incident,
SBA000227,application,Server Based Application,IM0003250,5,5,5.0,incident,
SBA000189,application,Server Based Application,IM0003251,5,5,5.0,incident,
SBA000423,application,Server Based Application,IM0003252,5,5,5.0,request for information,
CBA000014,application,Client Based Application,IM0003253,3,3,3.0,request for information,
SBA000464,application,Server Based Application,IM0003254,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003255,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003256,4,4,4.0,incident,
SBA000352,application,Server Based Application,IM0003257,3,3,3.0,incident,
DTA000056,application,Desktop Application,IM0003258,2,2,2.0,incident,
WBA000103,application,Web Based Application,IM0003259,4,4,4.0,incident,
WBA000058,application,Web Based Application,IM0003260,4,4,4.0,incident,
LAP000846,computer,Laptop,IM0003261,5,5,5.0,incident,
SUB000424,subapplication,Web Based Application,IM0003262,5,5,5.0,incident,
WBA000058,application,Web Based Application,IM0003263,4,4,4.0,incident,
CBD000794,computer,Banking Device,IM0003264,2,2,2.0,incident,
SBA000189,application,Server Based Application,IM0003265,5,5,5.0,incident,
SUB000445,subapplication,Web Based Application,IM0003266,4,4,4.0,incident,
SBA000626,application,Server Based Application,IM0003267,3,3,3.0,incident,
WBA000094,application,Web Based Application,IM0003268,4,4,4.0,incident,
SBA000729,application,Server Based Application,IM0003269,4,4,4.0,incident,
DTA000025,application,Desktop Application,IM0003270,4,4,4.0,incident,
OVR000089,,,IM0003271,3,3,3.0,request for information,
SBA000805,application,Server Based Application,IM0003272,3,3,3.0,incident,
WBA000103,application,Web Based Application,IM0003273,4,4,4.0,incident,
DTA000056,application,Desktop Application,IM0003274,3,3,3.0,incident,
SUB000537,subapplication,Web Based Application,IM0003275,4,4,4.0,incident,
CBA000014,application,Client Based Application,IM0003276,4,4,4.0,incident,
SBA000189,application,Server Based Application,IM0003277,5,5,5.0,incident,
SBA000805,application,Server Based Application,IM0003278,3,3,3.0,incident,
WBA000103,application,Web Based Application,IM0003279,4,4,4.0,incident,
WBA000103,application,Web Based Application,IM0003280,4,4,4.0,incident,
DTA000027,application,Desktop Application,IM0003281,3,4,3.0,incident,
SUB000534,subapplication,Web Based Application,IM0003282,5,5,5.0,incident,
SBA000689,application,Server Based Application,IM0003283,5,5,5.0,request for information,
SUB000456,subapplication,Web Based Application,IM0003284,4,4,4.0,incident,
WBA000144,application,Web Based Application,IM0003285,4,4,4.0,incident,
SBA000689,application,Server Based Application,IM0003286,5,5,5.0,request for information,
SUB000424,subapplication,Web Based Application,IM0003287,5,5,5.0,incident,
WBA000011,application,Web Based Application,IM0003288,5,5,5.0,incident,
WBA000018,application,Web Based Application,IM0003289,4,4,4.0,incident,
SUB000521,subapplication,Web Based Application,IM0003290,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003291,4,4,4.0,incident,
LAP001507,computer,Laptop,IM0003292,5,5,5.0,incident,
SBA000729,application,Server Based Application,IM0003293,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003294,4,4,4.0,incident,
LAP001039,computer,Laptop,IM0003295,5,5,5.0,incident,
SAP000003,application,SAP,IM0003296,5,5,5.0,incident,
SBA000689,application,Server Based Application,IM0003297,5,5,5.0,request for information,
SBA000017,application,Server Based Application,IM0003298,3,3,3.0,incident,
DTA000056,application,Desktop Application,IM0003299,2,2,2.0,incident,
SUB000537,subapplication,Web Based Application,IM0003300,4,4,4.0,incident,
SBA000172,application,Server Based Application,IM0003301,3,3,3.0,incident,
SBA000795,application,Server Based Application,IM0003302,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003303,4,4,4.0,incident,
LAP001070,computer,Laptop,IM0003304,5,5,5.0,incident,
SUB000113,subapplication,Server Based Application,IM0003305,5,5,5.0,request for information,
SBA000607,application,Server Based Application,IM0003306,4,4,4.0,incident,
APP000005,application,Citrix,IM0003307,4,4,4.0,incident,
ASW000010,software,Automation Software,IM0003308,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003309,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003310,3,3,3.0,incident,
APP000005,application,Citrix,IM0003311,4,4,4.0,incident,
SBA000017,application,Server Based Application,IM0003312,4,4,4.0,incident,
WBA000008,application,Web Based Application,IM0003313,5,5,5.0,incident,
CBA000014,application,Client Based Application,IM0003314,4,4,4.0,incident,
SBA000170,application,Server Based Application,IM0003315,3,4,3.0,incident,
CBA000014,application,Client Based Application,IM0003316,4,4,4.0,incident,
SBA000805,application,Server Based Application,IM0003317,NS,3,,incident,
SBA000189,application,Server Based Application,IM0003318,5,5,5.0,incident,
DTA000036,application,Desktop Application,IM0003319,4,4,4.0,incident,
SBA000045,application,Server Based Application,IM0003320,3,3,3.0,incident,
WBA000144,application,Web Based Application,IM0003321,4,4,4.0,incident,
WBA000058,application,Web Based Application,IM0003322,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0003323,4,4,4.0,incident,
WBA000011,application,Web Based Application,IM0003324,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003325,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0003326,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003327,NS,3,,incident,
SBA000284,application,Server Based Application,IM0003328,4,4,4.0,incident,
SBA000130,application,Server Based Application,IM0003329,NS,4,,incident,
DSK000466,computer,Desktop,IM0003330,5,5,5.0,incident,
WBA000011,application,Web Based Application,IM0003331,5,5,5.0,incident,
SBA000189,application,Server Based Application,IM0003332,5,5,5.0,incident,
CBA000014,application,Client Based Application,IM0003333,3,3,3.0,request for information,
WBA000103,application,Web Based Application,IM0003334,4,4,4.0,incident,
SUB000465,subapplication,Web Based Application,IM0003335,3,3,3.0,incident,
SBA000659,application,Server Based Application,IM0003336,5,5,5.0,incident,
CBD000903,computer,Banking Device,IM0003337,3,3,3.0,incident,
DTA000057,application,Desktop Application,IM0003339,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0003340,4,4,4.0,incident,
CBD000860,computer,Banking Device,IM0003341,2,2,2.0,incident,
SBA000659,application,Server Based Application,IM0003342,4,4,4.0,incident,
WBA000145,application,Web Based Application,IM0003343,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0003344,4,4,4.0,incident,
SBA000458,application,Server Based Application,IM0003345,5,5,5.0,incident,
WBA000128,application,Web Based Application,IM0003346,4,4,4.0,incident,
CBD001185,computer,Banking Device,IM0003347,2,2,2.0,incident,
SBA000458,application,Server Based Application,IM0003348,4,4,4.0,incident,
LAP000002,computer,Laptop,IM0003349,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0003350,4,4,4.0,incident,
WBA000060,application,Web Based Application,IM0003351,4,4,4.0,incident,
SBA000834,application,Server Based Application,IM0003352,4,4,4.0,incident,
WBA000103,application,Web Based Application,IM0003353,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0003354,4,4,4.0,incident,
SBA000805,application,Server Based Application,IM0003355,3,3,3.0,incident,
SUB000479,subapplication,Web Based Application,IM0003356,4,4,4.0,incident,
SBA000427,application,Server Based Application,IM0003357,3,3,3.0,incident,
SBA000405,application,Server Based Application,IM0003358,3,3,3.0,incident,
DCE000077,hardware,DataCenterEquipment,IM0003359,3,3,3.0,incident,
DTA000023,application,Desktop Application,IM0003360,4,4,4.0,incident,
SUB000113,subapplication,Server Based Application,IM0003361,5,5,5.0,request for information,
SBA000142,application,Server Based Application,IM0003362,4,4,4.0,incident,
SAP000003,application,SAP,IM0003363,5,5,5.0,incident,
ENC000012,hardware,Encryption,IM0003364,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0003365,NS,3,,incident,
SBA000144,application,Server Based Application,IM0003366,3,3,3.0,incident,
SBA000263,application,Server Based Application,IM0003367,5,5,5.0,request for information,
WBA000058,application,Web Based Application,IM0003368,4,4,4.0,incident,
SAP000005,application,SAP,IM0003369,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003370,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0003371,5,5,5.0,request for information,
SUB000456,subapplication,Web Based Application,IM0003372,4,4,4.0,incident,
SAP000004,application,SAP,IM0003373,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003374,5,5,5.0,request for information,
SAP000005,application,SAP,IM0003375,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003376,5,5,5.0,request for information,
SAP000004,application,SAP,IM0003377,5,5,5.0,request for information,
SUB000537,subapplication,Web Based Application,IM0003378,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0003379,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0003380,5,5,5.0,request for information,
WBA000103,application,Web Based Application,IM0003381,5,5,5.0,incident,
SBA000629,application,Server Based Application,IM0003382,5,5,5.0,incident,
WBA000068,application,Web Based Application,IM0003383,5,5,5.0,request for information,
SUB000113,subapplication,Server Based Application,IM0003384,5,5,5.0,request for information,
SBA000624,application,Server Based Application,IM0003385,5,5,5.0,incident,
DTA000616,application,Desktop Application,IM0003386,5,5,5.0,incident,
SBA000427,application,Server Based Application,IM0003387,3,3,3.0,incident,
SBA000759,application,Server Based Application,IM0003388,NS,3,,incident,
CNT000010,storage,Controller,IM0003389,3,3,3.0,incident,
CNT000012,storage,Controller,IM0003390,3,3,3.0,incident,
SBA000659,application,Server Based Application,IM0003391,4,4,4.0,incident,
SBA000689,application,Server Based Application,IM0003392,5,5,5.0,request for information,
DTA000057,application,Desktop Application,IM0003393,5,5,5.0,incident,
DTA000025,application,Desktop Application,IM0003394,4,4,4.0,incident,
SBA000689,application,Server Based Application,IM0003395,5,5,5.0,request for information,
SBA000659,application,Server Based Application,IM0003396,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0003397,3,3,3.0,incident,
SUB000456,subapplication,Web Based Application,IM0003398,4,4,4.0,incident,
SAP000005,application,SAP,IM0003399,5,5,5.0,request for information,
SBA000317,application,Server Based Application,IM0003400,3,4,3.0,incident,
